X,Y,Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,icon_url
-49.362871,-22.551048,"275","275<BR>CODIGOARTESP=160150013662<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=275<BR>LATITUDE1=-22,5510484671397<BR>LONGITUDE1=-49,3628713520327<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.367499,-22.558644,"276","276<BR>CODIGOARTESP=160150013695<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=276<BR>LATITUDE1=-22,5586439042473<BR>LONGITUDE1=-49,3674987203607<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.370805,-22.567151,"277","277<BR>CODIGOARTESP=160150013796<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=277<BR>LATITUDE1=-22,5671514411582<BR>LONGITUDE1=-49,3708049462483<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.374089,-22.575881,"278","278<BR>CODIGOARTESP=160150001308<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=278<BR>LATITUDE1=-22,5758808550946<BR>LONGITUDE1=-49,3740891583458<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.377335,-22.58427,"279","279<BR>CODIGOARTESP=160150015721<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=279<BR>LATITUDE1=-22,5842703862112<BR>LONGITUDE1=-49,3773352635679<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.380553,-22.592761,"280","280<BR>CODIGOARTESP=160150026644<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=280<BR>LATITUDE1=-22,5927610485007<BR>LONGITUDE1=-49,3805527351722<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.382618,-22.601331,"281","281<BR>CODIGOARTESP=160150015765<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=281<BR>LATITUDE1=-22,6013306041293<BR>LONGITUDE1=-49,3826177040222<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.382757,-22.610234,"282","282<BR>CODIGOARTESP=160150016452<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=282<BR>LATITUDE1=-22,6102340903149<BR>LONGITUDE1=-49,3827574059307<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.38358,-22.628225,"284","284<BR>CODIGOARTESP=160150026306<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=284<BR>LATITUDE1=-22,6282248884123<BR>LONGITUDE1=-49,3835799344739<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.390303,-22.63521,"285","285<BR>CODIGOARTESP=160150026284<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=285<BR>LATITUDE1=-22,6352102496717<BR>LONGITUDE1=-49,3903027560029<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.397067,-22.641762,"286","286<BR>CODIGOARTESP=160150026273<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=286<BR>LATITUDE1=-22,6417621141053<BR>LONGITUDE1=-49,397067210312<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.403805,-22.648104,"287","287<BR>CODIGOARTESP=160150026238<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=287<BR>LATITUDE1=-22,6481044362242<BR>LONGITUDE1=-49,4038046243306<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.409667,-22.655231,"288","288<BR>CODIGOARTESP=160150026227<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=288<BR>LATITUDE1=-22,6552313970888<BR>LONGITUDE1=-49,4096673073573<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.411149,-22.664028,"289","289<BR>CODIGOARTESP=160150026216<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=289<BR>LATITUDE1=-22,6640278146586<BR>LONGITUDE1=-49,4111487952974<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.412598,-22.671798,"290","290<BR>CODIGOARTESP=160150001174<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=290<BR>LATITUDE1=-22,6717982571519<BR>LONGITUDE1=-49,4125984757987<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.414542,-22.68182,"291","291<BR>CODIGOARTESP=160150001163<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=291<BR>LATITUDE1=-22,6818199380011<BR>LONGITUDE1=-49,4145415168414<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.42062,-22.688816,"292","292<BR>CODIGOARTESP=160150015822<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=292<BR>LATITUDE1=-22,6888155193524<BR>LONGITUDE1=-49,4206196107914<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.433486,-22.70226,"294","294<BR>CODIGOARTESP=160150001139<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=294<BR>LATITUDE1=-22,7022603974581<BR>LONGITUDE1=-49,4334856113882<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.44624,-22.71569,"296","296<BR>CODIGOARTESP=160150015912<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=296<BR>LATITUDE1=-22,7156902362198<BR>LONGITUDE1=-49,4462403767191<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.453581,-22.723358,"297","297<BR>CODIGOARTESP=160150026161<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=297<BR>LATITUDE1=-22,7233575867019<BR>LONGITUDE1=-49,4535806880918<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.459338,-22.729403,"298","298<BR>CODIGOARTESP=160150026148<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=298<BR>LATITUDE1=-22,7294033970344<BR>LONGITUDE1=-49,4593383347705<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.465822,-22.736192,"299","299<BR>CODIGOARTESP=160150001073<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=299<BR>LATITUDE1=-22,7361915922228<BR>LONGITUDE1=-49,4658223275349<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.472298,-22.74294,"300","300<BR>CODIGOARTESP=160150013684<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=300<BR>LATITUDE1=-22,7429402359647<BR>LONGITUDE1=-49,4722976812318<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.479185,-22.750188,"301","301<BR>CODIGOARTESP=160150001051<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=301<BR>LATITUDE1=-22,7501877969366<BR>LONGITUDE1=-49,4791852926173<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.485107,-22.756411,"302","302<BR>CODIGOARTESP=160150013717<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=302<BR>LATITUDE1=-22,7564113509205<BR>LONGITUDE1=-49,4851074946366<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.491638,-22.763108,"303","303<BR>CODIGOARTESP=160150026947<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=303<BR>LATITUDE1=-22,7631084899844<BR>LONGITUDE1=-49,4916382811612<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.498186,-22.769968,"304","304<BR>CODIGOARTESP=160150013728<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=304<BR>LATITUDE1=-22,7699682194743<BR>LONGITUDE1=-49,498186196972<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.504639,-22.776678,"305","305<BR>CODIGOARTESP=160150013651<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=305<BR>LATITUDE1=-22,7766783473606<BR>LONGITUDE1=-49,5046385474711<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.511013,-22.78335,"306","306<BR>CODIGOARTESP=160150001005<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=306<BR>LATITUDE1=-22,7833504591918<BR>LONGITUDE1=-49,5110127446631<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.517653,-22.790276,"307","307<BR>CODIGOARTESP=160150013649<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=307<BR>LATITUDE1=-22,7902755854714<BR>LONGITUDE1=-49,5176530283914<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.524055,-22.796934,"308","308<BR>CODIGOARTESP=160150016079<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=308<BR>LATITUDE1=-22,7969336304991<BR>LONGITUDE1=-49,5240550035553<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.530542,-22.803653,"309","309<BR>CODIGOARTESP=160150013638<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=309<BR>LATITUDE1=-22,8036529654651<BR>LONGITUDE1=-49,5305420079648<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.537135,-22.810626,"310","310<BR>CODIGOARTESP=160150013627<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=310<BR>LATITUDE1=-22,8106263813514<BR>LONGITUDE1=-49,5371352310242<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.543513,-22.817259,"311","311<BR>CODIGOARTESP=160150013616<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=311<BR>LATITUDE1=-22,81725850061<BR>LONGITUDE1=-49,5435129712548<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.549788,-22.823843,"312","312<BR>CODIGOARTESP=160150015923<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=312<BR>LATITUDE1=-22,8238433824157<BR>LONGITUDE1=-49,5497884718247<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.556375,-22.830648,"313","313<BR>CODIGOARTESP=160150000937<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=313<BR>LATITUDE1=-22,8306480461358<BR>LONGITUDE1=-49,5563747730899<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.562787,-22.83734,"314","314<BR>CODIGOARTESP=160150013537<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=314<BR>LATITUDE1=-22,8373402586396<BR>LONGITUDE1=-49,5627870318892<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.569252,-22.844078,"315","315<BR>CODIGOARTESP=160150013559<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=315<BR>LATITUDE1=-22,8440779786471<BR>LONGITUDE1=-49,5692516720644<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.57575,-22.85081,"316","316<BR>CODIGOARTESP=160150026857<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=316<BR>LATITUDE1=-22,850810221542<BR>LONGITUDE1=-49,5757503038525<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.582194,-22.857524,"317","317<BR>CODIGOARTESP=160150013548<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=317<BR>LATITUDE1=-22,8575235938657<BR>LONGITUDE1=-49,5821940409046<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
